Lat;Lon;Sats;X;Y
-21.7615058;-41.3370225;12;4.871;8.185
-21.7615058;-41.3370225;12;4.871;8.185
-21.7615060;-41.3370217;12;4.957;8.166
-21.7615060;-41.3370217;12;4.957;8.166
-21.7615062;-41.3370215;12;4.974;8.148
-21.7615062;-41.3370215;12;4.974;8.148
-21.7615060;-41.3370212;12;5.009;8.166
-21.7615060;-41.3370212;12;5.009;8.166
-21.7615060;-41.3370205;12;5.078;8.166
-21.7615060;-41.3370205;12;5.078;8.166
-21.7615058;-41.3370202;12;5.112;8.185
-21.7615058;-41.3370202;12;5.112;8.185
-21.7615057;-41.3370197;12;5.164;8.203
-21.7615057;-41.3370197;12;5.164;8.203
-21.7615057;-41.3370192;12;5.215;8.203
-21.7615057;-41.3370192;12;5.215;8.203
-21.7615053;-41.3370188;12;5.250;8.240
-21.7615053;-41.3370188;12;5.250;8.240
-21.7615053;-41.3370182;12;5.319;8.240
-21.7615053;-41.3370182;12;5.319;8.240
-21.7615050;-41.3370177;12;5.370;8.277
-21.7615050;-41.3370177;12;5.370;8.277
-21.7615050;-41.3370172;12;5.422;8.277
-21.7615050;-41.3370172;12;5.422;8.277
-21.7615048;-41.3370167;12;5.473;8.296
-21.7615048;-41.3370167;12;5.473;8.296
-21.7615047;-41.3370162;12;5.525;8.314
-21.7615047;-41.3370162;12;5.525;8.314
-21.7615043;-41.3370155;12;5.594;8.352
-21.7615043;-41.3370155;12;5.594;8.352
-21.7615042;-41.3370148;12;5.663;8.370
-21.7615042;-41.3370148;12;5.663;8.370
-21.7615043;-41.3370143;12;5.714;8.352
-21.7615043;-41.3370143;12;5.714;8.352
-21.7615042;-41.3370137;12;5.783;8.370
-21.7615042;-41.3370137;12;5.783;8.370
-21.7615042;-41.3370133;12;5.818;8.370
-21.7615042;-41.3370133;12;5.818;8.370
-21.7615040;-41.3370127;12;5.886;8.389
-21.7615040;-41.3370127;12;5.886;8.389
-21.7615042;-41.3370122;12;5.938;8.370
-21.7615042;-41.3370122;12;5.938;8.370
-21.7615043;-41.3370115;12;6.007;8.352
